"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.3,percent,14.5,16.2,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.7,percent,14.9,16.5,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.4,percent,14.6,16.2,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.9,percent,15.1,16.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.3,percent,14.5,16.1,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,14.8,percent,14.0,15.6,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670101,15.2,percent,14.4,16.1,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,15.1,percent,14.1,16.0,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,15.4,percent,14.5,16.3,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,14.9,percent,13.9,15.9,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,14.7,percent,13.8,15.6,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,13.6,percent,12.8,14.5,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,12.4,percent,11.6,13.1,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670102,13.2,percent,12.4,13.9,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,15.3,percent,14.5,16.0,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,15.6,percent,14.9,16.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,15.1,percent,14.2,15.8,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,14.7,percent,14.0,15.4,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,15.1,percent,14.3,15.9,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,14.3,percent,13.5,15.0,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",48157670200,14.7,percent,13.9,15.5,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
