"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,11.7,percent,11.0,12.4,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,12.1,percent,11.5,12.7,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,12.0,percent,11.4,12.7,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,11.5,percent,10.8,12.1,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,11.9,percent,11.3,12.6,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,13.8,percent,13.1,14.5,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000100,14.0,percent,13.2,14.8,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,14.9,percent,14.2,15.6,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,15.5,percent,14.8,16.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,15.4,percent,14.7,16.1,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,15.9,percent,15.2,16.6,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,16.5,percent,15.8,17.2,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,17.2,percent,16.4,18.0,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000200,16.5,percent,15.8,17.2,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,18.9,percent,18.1,19.7,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,19.6,percent,18.8,20.5,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,18.3,percent,17.6,19.1,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,17.8,percent,17.1,18.5,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,17.4,percent,16.7,18.2,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,17.6,percent,16.8,18.4,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000300,17.3,percent,16.6,18.2,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,15.1,percent,14.4,15.8,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,15.7,percent,15.0,16.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,14.7,percent,14.0,15.3,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,15.8,percent,15.2,16.4,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,16.2,percent,15.6,16.9,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,16.1,percent,15.3,16.8,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000400,15.7,percent,15.1,16.4,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,14.0,percent,13.5,14.5,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,14.6,percent,14.1,15.0,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,14.0,percent,13.5,14.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,14.5,percent,14.0,14.9,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,15.2,percent,14.7,15.7,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,13.3,percent,12.8,13.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults with Diabetes","This indicator shows the percentage of adults who have ever been diagnosed with diabetes.","Census Tract",06019000501,13.3,percent,12.8,13.8,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
